ID,Subject,GitHub Sync ID,Project,Is Group,Is Template,Parent Task,Duration (Days),Is Milestone,Task Description,Depends on Tasks,Actual Start Date (via Time Sheet),Actual Time (in hours),Actual End Date (via Time Sheet),Hito de Lanzamiento,Fin Manual,Inicio Manual,Módulo NPDI,Requiere Evidencia Adjunta,Rol Responsable,Etapa NPDI,ID (Dependent Tasks),Task (Dependent Tasks),Subject (Dependent Tasks),Project (Dependent Tasks)
,"Establecer objetivo comercial (ventas, margen)",,PROJ-0043,0,0,TASK-2026-02499,7,0,,"TASK-2026-02491,TASK-2026-02496,",,0,,0,,,Core,0,I+D,2 – CONCEPTO,,TASK-2026-02491,STAGE-GATE IDEA,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02496,Definición del Producto,
,Realizar análisis de capacidad instalada,,PROJ-0043,0,0,TASK-2026-02499,7,0,,"TASK-2026-02491,TASK-2026-02496,",,0,,0,,,Core,0,I+D,2 – CONCEPTO,,TASK-2026-02491,STAGE-GATE IDEA,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02496,Definición del Producto,
,"Definir normas aplicables (p ej: NOM 251, NOM 051, Acuerdo de aditivos)",,PROJ-0043,0,0,TASK-2026-02499,7,0,,"TASK-2026-02491,TASK-2026-02496,",,0,,0,,,Core,0,I+D,2 – CONCEPTO,,TASK-2026-02491,STAGE-GATE IDEA,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02496,Definición del Producto,
,Pruebas de Concepto,,PROJ-0043,1,0,,0,0,,"TASK-2026-02491,TASK-2026-02499,TASK-2026-02506,TASK-2026-02507,",,0,,0,,,Core,0,I+D,2 – CONCEPTO,,TASK-2026-02491,STAGE-GATE IDEA,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02499,Estudio de Viabilidad,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02506,Desarrollar prototipos iniciales,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02507,Realizar pruebas de aceptación con consumidores o clientes,
,Desarrollar prototipos iniciales,,PROJ-0043,0,0,TASK-2026-02505,3,0,,"TASK-2026-02491,TASK-2026-02499,",,0,,0,,,Core,0,I+D,2 – CONCEPTO,,TASK-2026-02491,STAGE-GATE IDEA,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02499,Estudio de Viabilidad,
,Realizar pruebas de aceptación con consumidores o clientes,,PROJ-0043,0,0,TASK-2026-02505,3,0,,"TASK-2026-02491,TASK-2026-02499,",,0,,0,,,Core,0,I+D,2 – CONCEPTO,,TASK-2026-02491,STAGE-GATE IDEA,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02499,Estudio de Viabilidad,
,STAGE-GATE CONCEPTO,,PROJ-0043,0,0,,0,0,,"TASK-2026-02491,TASK-2026-02505,",,0,,0,,,Core,1,CEO,2 – CONCEPTO,,TASK-2026-02491,STAGE-GATE IDEA,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02505,Pruebas de Concepto,
,Formulación y Prototipado,,PROJ-0043,1,0,,0,0,,"TASK-2026-02508,TASK-2026-02510,",,0,,0,,,Core,0,I+D,3 – DESARROLLO,,TASK-2026-02508,STAGE-GATE CONCEPTO,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02510,Desarrollar formulaciones detalladas del producto,
,Desarrollar formulaciones detalladas del producto,,PROJ-0043,0,0,TASK-2026-02509,3,0,,"TASK-2026-02508,",,0,,0,,,Core,0,I+D,3 – DESARROLLO,,TASK-2026-02508,STAGE-GATE CONCEPTO,
,Pruebas y Ajustes,,PROJ-0043,1,0,,0,0,,"TASK-2026-02508,TASK-2026-02509,TASK-2026-02512,TASK-2026-02513,TASK-2026-02514,TASK-2026-02515,",,0,,0,,,Core,0,MKT,3 – DESARROLLO,,TASK-2026-02508,STAGE-GATE CONCEPTO,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02509,Formulación y Prototipado,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02512,Realizar pruebas sensoriales,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02513,Realizar pruebas de estabilidad y vida útil,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02514,Elaborar especificación preliminar,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02515,Elaborar costeo preliminar,
,Realizar pruebas sensoriales,,PROJ-0043,0,0,TASK-2026-02511,3,0,,"TASK-2026-02508,TASK-2026-02509,",,0,,0,,,Core,0,MKT,3 – DESARROLLO,,TASK-2026-02508,STAGE-GATE CONCEPTO,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02509,Formulación y Prototipado,
,Realizar pruebas de estabilidad y vida útil,,PROJ-0043,0,0,TASK-2026-02511,30,0,,"TASK-2026-02508,TASK-2026-02509,",,0,,0,,,Core,0,MKT,3 – DESARROLLO,,TASK-2026-02508,STAGE-GATE CONCEPTO,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02509,Formulación y Prototipado,
,Elaborar especificación preliminar,,PROJ-0043,0,0,TASK-2026-02511,3,0,,"TASK-2026-02508,TASK-2026-02509,",,0,,0,,,Core,0,MKT,3 – DESARROLLO,,TASK-2026-02508,STAGE-GATE CONCEPTO,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02509,Formulación y Prototipado,
,Elaborar costeo preliminar,,PROJ-0043,0,0,TASK-2026-02511,3,0,,"TASK-2026-02508,TASK-2026-02509,",,0,,0,,,Core,0,MKT,3 – DESARROLLO,,TASK-2026-02508,STAGE-GATE CONCEPTO,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02509,Formulación y Prototipado,
,Estrategia de Marketing,,PROJ-0043,1,0,,0,0,,"TASK-2026-02508,TASK-2026-02517,TASK-2026-02518,TASK-2026-02519,",,0,,0,,,Core,0,MKT,3 – DESARROLLO,,TASK-2026-02508,STAGE-GATE CONCEPTO,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02517,Desarrollar un plan de marketing detallado,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02518,Preparar materiales promocionales,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02519,Validación de costeo,
,Desarrollar un plan de marketing detallado,,PROJ-0043,0,0,TASK-2026-02516,7,0,,"TASK-2026-02508,",,0,,0,,,Core,0,MKT,3 – DESARROLLO,,TASK-2026-02508,STAGE-GATE CONCEPTO,
,Validación de costeo,,PROJ-0043,0,0,TASK-2026-02516,7,0,,"TASK-2026-02508,",,0,,0,,,Core,0,MKT,3 – DESARROLLO,,TASK-2026-02508,STAGE-GATE CONCEPTO,
,Preparar materiales promocionales,,PROJ-0043,0,0,,7,0,,,,0,,0,,,Core,0,MKT,3 – DESARROLLO,,,,
,Desarrollo de etiqueta y embalajes,,PROJ-0043,1,0,,0,0,,"TASK-2026-02508,TASK-2026-02511,TASK-2026-02522,TASK-2026-02523,TASK-2026-02524,TASK-2026-02525,TASK-2026-02526,TASK-2026-02527,TASK-2026-02528,",,0,,0,,,Core,0,I+D,3 – DESARROLLO,,TASK-2026-02508,STAGE-GATE CONCEPTO,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02511,Pruebas y Ajustes,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02522,Cálculo nutrimental,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02523,Listado de ingredientes,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02524,Declaración de alérgenos,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02525,Definir contenido neto,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02526,"Desarrollar especificación de embalaje (pz, caja, pallet)",
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02527,Solicitar código de barras EAN-13 y DUN-14,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02528,Diseño gráfico de embalajes,
,Cálculo nutrimental,,PROJ-0043,0,0,TASK-2026-02521,3,0,,"TASK-2026-02508,TASK-2026-02511,",,0,,0,,,Core,0,I+D,3 – DESARROLLO,,TASK-2026-02508,STAGE-GATE CONCEPTO,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02511,Pruebas y Ajustes,
,Listado de ingredientes,,PROJ-0043,0,0,TASK-2026-02521,3,0,,"TASK-2026-02508,TASK-2026-02511,",,0,,0,,,Core,0,I+D,3 – DESARROLLO,,TASK-2026-02508,STAGE-GATE CONCEPTO,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02511,Pruebas y Ajustes,
,Declaración de alérgenos,,PROJ-0043,0,0,TASK-2026-02521,3,0,,"TASK-2026-02508,TASK-2026-02511,",,0,,0,,,Core,0,I+D,3 – DESARROLLO,,TASK-2026-02508,STAGE-GATE CONCEPTO,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02511,Pruebas y Ajustes,
,Definir contenido neto,,PROJ-0043,0,0,TASK-2026-02521,3,0,,"TASK-2026-02508,TASK-2026-02511,",,0,,0,,,Core,0,I+D,3 – DESARROLLO,,TASK-2026-02508,STAGE-GATE CONCEPTO,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02511,Pruebas y Ajustes,
,"Desarrollar especificación de embalaje (pz, caja, pallet)",,PROJ-0043,0,0,TASK-2026-02521,3,0,,"TASK-2026-02508,TASK-2026-02511,",,0,,0,,,Core,0,I+D,3 – DESARROLLO,,TASK-2026-02508,STAGE-GATE CONCEPTO,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02511,Pruebas y Ajustes,
,Solicitar código de barras EAN-13 y DUN-14,,PROJ-0043,0,0,TASK-2026-02521,3,0,,"TASK-2026-02508,TASK-2026-02511,",,0,,0,,,Core,0,I+D,3 – DESARROLLO,,TASK-2026-02508,STAGE-GATE CONCEPTO,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02511,Pruebas y Ajustes,
,Diseño gráfico de embalajes,,PROJ-0043,0,0,TASK-2026-02521,7,0,,"TASK-2026-02508,TASK-2026-02511,",,0,,0,,,Core,0,I+D,3 – DESARROLLO,,TASK-2026-02508,STAGE-GATE CONCEPTO,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02511,Pruebas y Ajustes,
,Alta de insumos y proveedores,,PROJ-0043,1,0,,0,0,,"TASK-2026-02529,TASK-2026-02531,TASK-2026-02532,TASK-2026-02533,TASK-2026-02534,",,0,,0,,,Core,0,I+D,3 – DESARROLLO,,TASK-2026-02529,Aprobación de diseño por proveedor de imprenta,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02531,Desarrollo de especificaciones de insumos (QI template),
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02532,Alta de insumos (Items) en ERP,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02533,Creación de etiquetas (Labels),
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02534,Alta de proveedores (Suppliers) en ERP,
,Aprobación de diseño por proveedor de imprenta,,PROJ-0043,0,0,TASK-2026-02530,0,0,,"TASK-2026-02508,TASK-2026-02511,",,0,,0,,,Core,0,,3 – DESARROLLO,,TASK-2026-02508,STAGE-GATE CONCEPTO,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02511,Pruebas y Ajustes,
,Desarrollo de especificaciones de insumos (QI template),,PROJ-0043,0,0,TASK-2026-02530,7,0,,"TASK-2026-02508,TASK-2026-02511,",,0,,0,,,Core,0,I+D,3 – DESARROLLO,,TASK-2026-02508,STAGE-GATE CONCEPTO,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02511,Pruebas y Ajustes,
,Alta de insumos (Items) en ERP,,PROJ-0043,0,0,TASK-2026-02530,7,0,,"TASK-2026-02508,TASK-2026-02511,",,0,,0,,,Core,0,I+D,3 – DESARROLLO,,TASK-2026-02508,STAGE-GATE CONCEPTO,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02511,Pruebas y Ajustes,
,Creación de etiquetas (Labels),,PROJ-0043,0,0,TASK-2026-02530,7,0,,"TASK-2026-02508,TASK-2026-02511,",,0,,0,,,Core,0,I+D,3 – DESARROLLO,,TASK-2026-02508,STAGE-GATE CONCEPTO,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02511,Pruebas y Ajustes,
,Alta de proveedores (Suppliers) en ERP,,PROJ-0043,0,0,TASK-2026-02530,7,0,,"TASK-2026-02508,TASK-2026-02511,",,0,,0,,,Core,0,I+D,3 – DESARROLLO,,TASK-2026-02508,STAGE-GATE CONCEPTO,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02511,Pruebas y Ajustes,
,Aprobación de diseño por proveedor de imprenta,,PROJ-0043,0,0,,7,0,,,,0,,0,,,Core,0,I+D,3 – DESARROLLO,,,,
,Regulaciones y Cumplimiento,,PROJ-0043,1,0,,0,0,,"TASK-2026-02508,TASK-2026-02511,TASK-2026-02537,TASK-2026-02538,",,0,,0,,,Core,0,Calidad,3 – DESARROLLO,,TASK-2026-02508,STAGE-GATE CONCEPTO,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02511,Pruebas y Ajustes,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02537,"Verificar cumplimiento con regulaciones alimentarias (NOM 251, NOM 051, Acuerdo de aditivos)",
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02538,"Obtener las aprobaciones necesarias (interna, clientes, consumidores)",
,"Verificar cumplimiento con regulaciones alimentarias (NOM 251, NOM 051, Acuerdo de aditivos)",,PROJ-0043,0,0,TASK-2026-02536,3,0,,"TASK-2026-02508,TASK-2026-02511,",,0,,0,,,Core,0,Calidad,3 – DESARROLLO,,TASK-2026-02508,STAGE-GATE CONCEPTO,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02511,Pruebas y Ajustes,
,"Obtener las aprobaciones necesarias (interna, clientes, consumidores)",,PROJ-0043,0,0,TASK-2026-02536,3,0,,"TASK-2026-02508,TASK-2026-02511,",,0,,0,,,Core,0,Calidad,3 – DESARROLLO,,TASK-2026-02508,STAGE-GATE CONCEPTO,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02511,Pruebas y Ajustes,
,Diseño del Proceso,,PROJ-0043,1,0,,0,0,,"TASK-2026-02508,TASK-2026-02511,TASK-2026-02540,TASK-2026-02541,TASK-2026-02542,TASK-2026-02543,TASK-2026-02544,TASK-2026-02545,",,0,,0,,,Core,0,I+D,3 – DESARROLLO,,TASK-2026-02508,STAGE-GATE CONCEPTO,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02511,Pruebas y Ajustes,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02540,Definir la lista de materiales (BOM),
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02541,Definir el proceso de manufactura,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02542,Desarrollar diagramas de flujo del proceso,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02543,HACCP definitivo,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02544,Especificación de calidad tentativa para producto terminado (QI template),
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02545,Entrenamiento sensorial al panel de degustación,
,Definir la lista de materiales (BOM),,PROJ-0043,0,0,TASK-2026-02539,7,0,,"TASK-2026-02508,TASK-2026-02511,",,0,,0,,,Core,0,I+D,3 – DESARROLLO,,TASK-2026-02508,STAGE-GATE CONCEPTO,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02511,Pruebas y Ajustes,
,Definir el proceso de manufactura,,PROJ-0043,0,0,TASK-2026-02539,7,0,,"TASK-2026-02508,TASK-2026-02511,",,0,,0,,,Core,0,I+D,3 – DESARROLLO,,TASK-2026-02508,STAGE-GATE CONCEPTO,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02511,Pruebas y Ajustes,
,Desarrollar diagramas de flujo del proceso,,PROJ-0043,0,0,TASK-2026-02539,7,0,,"TASK-2026-02508,TASK-2026-02511,",,0,,0,,,Core,0,I+D,3 – DESARROLLO,,TASK-2026-02508,STAGE-GATE CONCEPTO,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02511,Pruebas y Ajustes,
,HACCP definitivo,,PROJ-0043,0,0,TASK-2026-02539,7,0,,"TASK-2026-02508,TASK-2026-02511,",,0,,0,,,Core,0,I+D,3 – DESARROLLO,,TASK-2026-02508,STAGE-GATE CONCEPTO,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02511,Pruebas y Ajustes,
,Especificación de calidad tentativa para producto terminado (QI template),,PROJ-0043,0,0,TASK-2026-02539,7,0,,"TASK-2026-02508,TASK-2026-02511,",,0,,0,,,Core,0,I+D,3 – DESARROLLO,,TASK-2026-02508,STAGE-GATE CONCEPTO,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02511,Pruebas y Ajustes,
,Entrenamiento sensorial al panel de degustación,,PROJ-0043,0,0,TASK-2026-02539,7,0,,"TASK-2026-02508,TASK-2026-02511,",,0,,0,,,Core,0,I+D,3 – DESARROLLO,,TASK-2026-02508,STAGE-GATE CONCEPTO,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02511,Pruebas y Ajustes,
,Preparación del mercado,,PROJ-0043,1,0,,0,0,,"TASK-2026-02508,TASK-2026-02516,TASK-2026-02547,TASK-2026-02518,",,0,,0,,,Core,0,Ventas,3 – DESARROLLO,,TASK-2026-02508,STAGE-GATE CONCEPTO,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02516,Estrategia de Marketing,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02547,Realizar degustaciones y presentaciones de producto a clientes potenciales,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02518,Preparar materiales promocionales,
,Realizar degustaciones y presentaciones de producto a clientes potenciales,,PROJ-0043,0,0,TASK-2026-02546,3,0,,"TASK-2026-02508,TASK-2026-02516,",,0,,0,,,Core,0,Ventas,3 – DESARROLLO,,TASK-2026-02508,STAGE-GATE CONCEPTO,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02516,Estrategia de Marketing,
,Preparar materiales promocionales,,PROJ-0043,0,0,TASK-2026-02546,0,0,,"TASK-2026-02508,",,0,,0,,,Core,0,,3 – DESARROLLO,,TASK-2026-02508,STAGE-GATE CONCEPTO,
,Pruebas Piloto,,PROJ-0043,1,0,,0,0,,"TASK-2026-02508,TASK-2026-02539,TASK-2026-02549,TASK-2026-02550,TASK-2026-02551,TASK-2026-02552,",,0,,0,,,Core,0,I+D,3 – DESARROLLO,,TASK-2026-02508,STAGE-GATE CONCEPTO,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02539,Diseño del Proceso,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02549,Compra de insumos para pruebas piloto,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02550,Realizar pruebas piloto de producción,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02551,Evaluación de pruebas piloto de acuerdo a Especificación.,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02552,Ajustar el proceso y especificación según los resultados,
,Compra de insumos para pruebas piloto,,PROJ-0043,0,0,TASK-2026-02548,30,0,,"TASK-2026-02508,TASK-2026-02539,",,0,,0,,,Core,0,I+D,3 – DESARROLLO,,TASK-2026-02508,STAGE-GATE CONCEPTO,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02539,Diseño del Proceso,
,Realizar pruebas piloto de producción,,PROJ-0043,0,0,TASK-2026-02548,30,0,,"TASK-2026-02508,TASK-2026-02539,",,0,,0,,,Core,0,I+D,3 – DESARROLLO,,TASK-2026-02508,STAGE-GATE CONCEPTO,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02539,Diseño del Proceso,
,Evaluación de pruebas piloto de acuerdo a Especificación.,,PROJ-0043,0,0,TASK-2026-02548,30,0,,"TASK-2026-02508,TASK-2026-02539,",,0,,0,,,Core,0,I+D,3 – DESARROLLO,,TASK-2026-02508,STAGE-GATE CONCEPTO,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02539,Diseño del Proceso,
,Ajustar el proceso y especificación según los resultados,,PROJ-0043,0,0,TASK-2026-02548,30,0,,"TASK-2026-02508,TASK-2026-02539,",,0,,0,,,Core,0,I+D,3 – DESARROLLO,,TASK-2026-02508,STAGE-GATE CONCEPTO,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02539,Diseño del Proceso,
,Documentación,,PROJ-0043,1,0,,0,0,,"TASK-2026-02508,TASK-2026-02548,TASK-2026-02554,",,0,,0,,,Core,0,Fábrica,3 – DESARROLLO,,TASK-2026-02508,STAGE-GATE CONCEPTO,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02548,Pruebas Piloto,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02554,Crear manuales de producción,
,Crear manuales de producción,,PROJ-0043,0,0,TASK-2026-02553,3,0,,"TASK-2026-02508,TASK-2026-02548,",,0,,0,,,Core,0,Fábrica,3 – DESARROLLO,,TASK-2026-02508,STAGE-GATE CONCEPTO,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02548,Pruebas Piloto,
,STAGE-GATE DESARROLLO,,PROJ-0043,0,0,,0,0,,"TASK-2026-02508,TASK-2026-02546,TASK-2026-02553,",,0,,0,,,Core,1,CEO,3 – DESARROLLO,,TASK-2026-02508,STAGE-GATE CONCEPTO,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02546,Preparación del mercado,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02553,Documentación,
,Comercialización,,PROJ-0043,1,0,,0,0,,"TASK-2026-02555,TASK-2026-02557,",,0,,0,,,Core,0,Ventas,4 – LANZAMIENTO,,TASK-2026-02555,STAGE-GATE DESARROLLO,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02557,Generar pedidos iniciales,
