ID,subject,project,is_group,is_template,parent_task,duration,is_milestone,description,npdi_stage_name,npdi_module,npdi_responsible_role,npdi_requires_attachment,npdi_launch_milestone,depends_on.task
TASK-2026-02511,Pruebas y Ajustes,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,MKT,0,0,TASK-2026-02515
TASK-2026-02512,Realizar pruebas sensoriales,PROJ-0043,0,0,TASK-2026-02511,3,0,,3 – DESARROLLO,Core,MKT,0,0,TASK-2026-02508
TASK-2026-02512,Realizar pruebas sensoriales,PROJ-0043,0,0,TASK-2026-02511,3,0,,3 – DESARROLLO,Core,MKT,0,0,TASK-2026-02509
TASK-2026-02513,Realizar pruebas de estabilidad y vida útil,PROJ-0043,0,0,TASK-2026-02511,30,0,,3 – DESARROLLO,Core,MKT,0,0,TASK-2026-02508
TASK-2026-02513,Realizar pruebas de estabilidad y vida útil,PROJ-0043,0,0,TASK-2026-02511,30,0,,3 – DESARROLLO,Core,MKT,0,0,TASK-2026-02509
TASK-2026-02514,Elaborar especificación preliminar,PROJ-0043,0,0,TASK-2026-02511,3,0,,3 – DESARROLLO,Core,MKT,0,0,TASK-2026-02508
TASK-2026-02514,Elaborar especificación preliminar,PROJ-0043,0,0,TASK-2026-02511,3,0,,3 – DESARROLLO,Core,MKT,0,0,TASK-2026-02509
TASK-2026-02515,Elaborar costeo preliminar,PROJ-0043,0,0,TASK-2026-02511,3,0,,3 – DESARROLLO,Core,MKT,0,0,TASK-2026-02508
TASK-2026-02515,Elaborar costeo preliminar,PROJ-0043,0,0,TASK-2026-02511,3,0,,3 – DESARROLLO,Core,MKT,0,0,TASK-2026-02509
TASK-2026-02516,Estrategia de Marketing,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,MKT,0,0,TASK-2026-02508
TASK-2026-02516,Estrategia de Marketing,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,MKT,0,0,TASK-2026-02517
TASK-2026-02516,Estrategia de Marketing,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,MKT,0,0,TASK-2026-02518
TASK-2026-02516,Estrategia de Marketing,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,MKT,0,0,TASK-2026-02519
TASK-2026-02517,Desarrollar un plan de marketing detallado,PROJ-0043,0,0,TASK-2026-02516,7,0,,3 – DESARROLLO,Core,MKT,0,0,TASK-2026-02508
TASK-2026-02519,Validación de costeo,PROJ-0043,0,0,TASK-2026-02516,7,0,,3 – DESARROLLO,Core,MKT,0,0,TASK-2026-02508
TASK-2026-02518,Preparar materiales promocionales,PROJ-0043,0,0,,7,0,,3 – DESARROLLO,Core,MKT,0,0,
TASK-2026-02521,Desarrollo de etiqueta y embalajes,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02508
TASK-2026-02521,Desarrollo de etiqueta y embalajes,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02511
TASK-2026-02521,Desarrollo de etiqueta y embalajes,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02522
TASK-2026-02521,Desarrollo de etiqueta y embalajes,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02523
TASK-2026-02521,Desarrollo de etiqueta y embalajes,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02524
TASK-2026-02521,Desarrollo de etiqueta y embalajes,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02525
TASK-2026-02521,Desarrollo de etiqueta y embalajes,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02526
TASK-2026-02521,Desarrollo de etiqueta y embalajes,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02527
TASK-2026-02521,Desarrollo de etiqueta y embalajes,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02528
TASK-2026-02522,Cálculo nutrimental,PROJ-0043,0,0,TASK-2026-02521,3,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02508
TASK-2026-02522,Cálculo nutrimental,PROJ-0043,0,0,TASK-2026-02521,3,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02511
TASK-2026-02523,Listado de ingredientes,PROJ-0043,0,0,TASK-2026-02521,3,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02508
TASK-2026-02523,Listado de ingredientes,PROJ-0043,0,0,TASK-2026-02521,3,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02511
TASK-2026-02524,Declaración de alérgenos,PROJ-0043,0,0,TASK-2026-02521,3,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02508
TASK-2026-02524,Declaración de alérgenos,PROJ-0043,0,0,TASK-2026-02521,3,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02511
TASK-2026-02525,Definir contenido neto,PROJ-0043,0,0,TASK-2026-02521,3,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02508
TASK-2026-02525,Definir contenido neto,PROJ-0043,0,0,TASK-2026-02521,3,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02511
TASK-2026-02526,"Desarrollar especificación de embalaje (pz, caja, pallet)",PROJ-0043,0,0,TASK-2026-02521,3,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02508
TASK-2026-02526,"Desarrollar especificación de embalaje (pz, caja, pallet)",PROJ-0043,0,0,TASK-2026-02521,3,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02511
TASK-2026-02527,Solicitar código de barras EAN-13 y DUN-14,PROJ-0043,0,0,TASK-2026-02521,3,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02508
TASK-2026-02527,Solicitar código de barras EAN-13 y DUN-14,PROJ-0043,0,0,TASK-2026-02521,3,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02511
TASK-2026-02528,Diseño gráfico de embalajes,PROJ-0043,0,0,TASK-2026-02521,7,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02508
TASK-2026-02528,Diseño gráfico de embalajes,PROJ-0043,0,0,TASK-2026-02521,7,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02511
TASK-2026-02530,Alta de insumos y proveedores,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02529
TASK-2026-02530,Alta de insumos y proveedores,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02531
TASK-2026-02530,Alta de insumos y proveedores,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02532
TASK-2026-02530,Alta de insumos y proveedores,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02533
TASK-2026-02530,Alta de insumos y proveedores,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02534
TASK-2026-02529,Aprobación de diseño por proveedor de imprenta,PROJ-0043,0,0,TASK-2026-02530,0,0,,3 – DESARROLLO,Core,,0,0,TASK-2026-02508
TASK-2026-02529,Aprobación de diseño por proveedor de imprenta,PROJ-0043,0,0,TASK-2026-02530,0,0,,3 – DESARROLLO,Core,,0,0,TASK-2026-02511
TASK-2026-02531,Desarrollo de especificaciones de insumos (QI template),PROJ-0043,0,0,TASK-2026-02530,7,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02508
TASK-2026-02531,Desarrollo de especificaciones de insumos (QI template),PROJ-0043,0,0,TASK-2026-02530,7,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02511
TASK-2026-02532,Alta de insumos (Items) en ERP,PROJ-0043,0,0,TASK-2026-02530,7,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02508
TASK-2026-02532,Alta de insumos (Items) en ERP,PROJ-0043,0,0,TASK-2026-02530,7,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02511
TASK-2026-02533,Creación de etiquetas (Labels),PROJ-0043,0,0,TASK-2026-02530,7,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02508
TASK-2026-02533,Creación de etiquetas (Labels),PROJ-0043,0,0,TASK-2026-02530,7,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02511
TASK-2026-02534,Alta de proveedores (Suppliers) en ERP,PROJ-0043,0,0,TASK-2026-02530,7,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02508
TASK-2026-02534,Alta de proveedores (Suppliers) en ERP,PROJ-0043,0,0,TASK-2026-02530,7,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02511
TASK-2026-02529,Aprobación de diseño por proveedor de imprenta,PROJ-0043,0,0,,7,0,,3 – DESARROLLO,Core,I+D,0,0,
TASK-2026-02536,Regulaciones y Cumplimiento,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,Calidad,0,0,TASK-2026-02508
TASK-2026-02536,Regulaciones y Cumplimiento,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,Calidad,0,0,TASK-2026-02511
TASK-2026-02536,Regulaciones y Cumplimiento,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,Calidad,0,0,TASK-2026-02537
TASK-2026-02536,Regulaciones y Cumplimiento,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,Calidad,0,0,TASK-2026-02538
TASK-2026-02537,"Verificar cumplimiento con regulaciones alimentarias (NOM 251, NOM 051, Acuerdo de aditivos)",PROJ-0043,0,0,TASK-2026-02536,3,0,,3 – DESARROLLO,Core,Calidad,0,0,TASK-2026-02508
TASK-2026-02537,"Verificar cumplimiento con regulaciones alimentarias (NOM 251, NOM 051, Acuerdo de aditivos)",PROJ-0043,0,0,TASK-2026-02536,3,0,,3 – DESARROLLO,Core,Calidad,0,0,TASK-2026-02511
TASK-2026-02538,"Obtener las aprobaciones necesarias (interna, clientes, consumidores)",PROJ-0043,0,0,TASK-2026-02536,3,0,,3 – DESARROLLO,Core,Calidad,0,0,TASK-2026-02508
TASK-2026-02538,"Obtener las aprobaciones necesarias (interna, clientes, consumidores)",PROJ-0043,0,0,TASK-2026-02536,3,0,,3 – DESARROLLO,Core,Calidad,0,0,TASK-2026-02511
TASK-2026-02539,Diseño del Proceso,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02508
TASK-2026-02539,Diseño del Proceso,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02511
TASK-2026-02539,Diseño del Proceso,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02540
TASK-2026-02539,Diseño del Proceso,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02541
TASK-2026-02539,Diseño del Proceso,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02542
TASK-2026-02539,Diseño del Proceso,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02543
TASK-2026-02539,Diseño del Proceso,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02544
TASK-2026-02539,Diseño del Proceso,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02545
TASK-2026-02540,Definir la lista de materiales (BOM),PROJ-0043,0,0,TASK-2026-02539,7,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02508
TASK-2026-02540,Definir la lista de materiales (BOM),PROJ-0043,0,0,TASK-2026-02539,7,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02511
TASK-2026-02541,Definir el proceso de manufactura,PROJ-0043,0,0,TASK-2026-02539,7,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02508
TASK-2026-02541,Definir el proceso de manufactura,PROJ-0043,0,0,TASK-2026-02539,7,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02511
TASK-2026-02542,Desarrollar diagramas de flujo del proceso,PROJ-0043,0,0,TASK-2026-02539,7,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02508
TASK-2026-02542,Desarrollar diagramas de flujo del proceso,PROJ-0043,0,0,TASK-2026-02539,7,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02511
TASK-2026-02543,HACCP definitivo,PROJ-0043,0,0,TASK-2026-02539,7,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02508
TASK-2026-02543,HACCP definitivo,PROJ-0043,0,0,TASK-2026-02539,7,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02511
TASK-2026-02544,Especificación de calidad tentativa para producto terminado (QI template),PROJ-0043,0,0,TASK-2026-02539,7,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02508
TASK-2026-02544,Especificación de calidad tentativa para producto terminado (QI template),PROJ-0043,0,0,TASK-2026-02539,7,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02511
TASK-2026-02545,Entrenamiento sensorial al panel de degustación,PROJ-0043,0,0,TASK-2026-02539,7,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02508
TASK-2026-02545,Entrenamiento sensorial al panel de degustación,PROJ-0043,0,0,TASK-2026-02539,7,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02511
TASK-2026-02546,Preparación del mercado,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,Ventas,0,0,TASK-2026-02508
TASK-2026-02546,Preparación del mercado,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,Ventas,0,0,TASK-2026-02516
TASK-2026-02546,Preparación del mercado,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,Ventas,0,0,TASK-2026-02547
TASK-2026-02546,Preparación del mercado,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,Ventas,0,0,TASK-2026-02518
TASK-2026-02547,Realizar degustaciones y presentaciones de producto a clientes potenciales,PROJ-0043,0,0,TASK-2026-02546,3,0,,3 – DESARROLLO,Core,Ventas,0,0,TASK-2026-02508
TASK-2026-02547,Realizar degustaciones y presentaciones de producto a clientes potenciales,PROJ-0043,0,0,TASK-2026-02546,3,0,,3 – DESARROLLO,Core,Ventas,0,0,TASK-2026-02516
TASK-2026-02518,Preparar materiales promocionales,PROJ-0043,0,0,TASK-2026-02546,0,0,,3 – DESARROLLO,Core,,0,0,TASK-2026-02508
TASK-2026-02548,Pruebas Piloto,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02508
TASK-2026-02548,Pruebas Piloto,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02539
TASK-2026-02548,Pruebas Piloto,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02549
TASK-2026-02548,Pruebas Piloto,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02550
TASK-2026-02548,Pruebas Piloto,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02551
TASK-2026-02548,Pruebas Piloto,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02552
TASK-2026-02549,Compra de insumos para pruebas piloto,PROJ-0043,0,0,TASK-2026-02548,30,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02508
TASK-2026-02549,Compra de insumos para pruebas piloto,PROJ-0043,0,0,TASK-2026-02548,30,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02539
TASK-2026-02550,Realizar pruebas piloto de producción,PROJ-0043,0,0,TASK-2026-02548,30,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02508
TASK-2026-02550,Realizar pruebas piloto de producción,PROJ-0043,0,0,TASK-2026-02548,30,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02539
TASK-2026-02551,Evaluación de pruebas piloto de acuerdo a Especificación.,PROJ-0043,0,0,TASK-2026-02548,30,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02508
TASK-2026-02551,Evaluación de pruebas piloto de acuerdo a Especificación.,PROJ-0043,0,0,TASK-2026-02548,30,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02539
TASK-2026-02552,Ajustar el proceso y especificación según los resultados,PROJ-0043,0,0,TASK-2026-02548,30,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02508
TASK-2026-02552,Ajustar el proceso y especificación según los resultados,PROJ-0043,0,0,TASK-2026-02548,30,0,,3 – DESARROLLO,Core,I+D,0,0,TASK-2026-02539
TASK-2026-02553,Documentación,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,Fábrica,0,0,TASK-2026-02508
TASK-2026-02553,Documentación,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,Fábrica,0,0,TASK-2026-02548
TASK-2026-02553,Documentación,PROJ-0043,1,0,,0,0,,3 – DESARROLLO,Core,Fábrica,0,0,TASK-2026-02554
TASK-2026-02554,Crear manuales de producción,PROJ-0043,0,0,TASK-2026-02553,3,0,,3 – DESARROLLO,Core,Fábrica,0,0,TASK-2026-02508
TASK-2026-02554,Crear manuales de producción,PROJ-0043,0,0,TASK-2026-02553,3,0,,3 – DESARROLLO,Core,Fábrica,0,0,TASK-2026-02548
TASK-2026-02555,STAGE-GATE DESARROLLO,PROJ-0043,0,0,,0,0,,3 – DESARROLLO,Core,CEO,1,0,TASK-2026-02508
TASK-2026-02555,STAGE-GATE DESARROLLO,PROJ-0043,0,0,,0,0,,3 – DESARROLLO,Core,CEO,1,0,TASK-2026-02546
TASK-2026-02555,STAGE-GATE DESARROLLO,PROJ-0043,0,0,,0,0,,3 – DESARROLLO,Core,CEO,1,0,TASK-2026-02553
TASK-2026-02556,Comercialización,PROJ-0043,1,0,,0,0,,4 – LANZAMIENTO,Core,Ventas,0,0,TASK-2026-02555
TASK-2026-02556,Comercialización,PROJ-0043,1,0,,0,0,,4 – LANZAMIENTO,Core,Ventas,0,0,TASK-2026-02557
